carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
0.95,1.0,9.0,8.0,6.3,5.829705882352942,3.9,62.6,58.0,9400.0
1.05,11.0,14.0,1.0,6.6,6.58,3.6946710526315782,62.7,56.91017964071856,8500.0
0.7989999999999999,8.0,4.0,6.0,5.9,5.829705882352942,3.65,61.9,55.0,2200.0
0.45,11.0,5.0,8.0,4.8,4.82,3.01,62.1,56.0,1500.0
0.7989999999999999,1.0,11.0,3.0,6.2,5.829705882352942,3.84,61.9,58.0,5900.0
0.85,5.0,6.0,7.0,5.8,5.82,3.6946710526315782,62.2,55.0,4800.0
0.95,13.0,1.0,1.0,6.3,6.31,3.91,62.4,56.91017964071856,7300.0
0.7989999999999999,10.0,2.0,6.0,6.0,6.01,3.6946710526315782,62.31654135338345,54.0,2700.0
0.35,1.0,12.0,4.0,4.6,5.829705882352942,2.85,62.0,57.0,1400.0
0.55,6.0,14.0,2.0,5.4,5.829705882352942,3.35,62.3,56.0,2600.0
0.7989999999999999,0.0,9.0,7.0,4.8,4.79,2.96,61.8,56.91017964071856,1200.0
1.05,12.0,3.0,3.0,6.7,6.69,4.13,62.31654135338345,58.0,9500.0
0.75,4.0,4.0,7.0,5.7,5.71,3.6946710526315782,62.5,57.0,3800.0
1.4,13.0,5.0,7.0,7.1,5.829705882352942,4.39,62.7,59.0,11200.0
0.5,5.0,2.0,9.0,5.2,5.22,3.6946710526315782,62.31654135338345,58.0,2900.0
1.3,2.0,11.0,1.0,6.9,5.829705882352942,4.26,62.3,57.0,9900.0
0.7989999999999999,13.0,1.0,7.0,6.8,6.81,4.21,62.31654135338345,59.0,8100.0
0.4,10.0,14.0,4.0,4.8,4.78,2.96,62.2,56.91017964071856,1400.0
1.15,1.0,12.0,2.0,6.5,5.829705882352942,4.02,62.0,58.0,9800.0
0.7989999999999999,8.0,5.0,7.0,5.9,5.88,3.63,62.4,56.91017964071856,2100.0
0.55,11.0,6.0,0.0,5.3,5.829705882352942,3.29,62.1,54.0,1700.0
0.6,6.0,9.0,3.0,5.6,5.58,3.48,62.31654135338345,57.0,3700.0
0.7989999999999999,10.0,3.0,11.0,6.1,6.12,3.6946710526315782,62.1,59.0,5000.0
0.75,5.0,13.0,7.0,5.8,5.81,3.6946710526315782,62.3,56.0,4600.0
0.7989999999999999,11.0,2.0,0.0,5.9,5.829705882352942,3.64,62.2,54.0,2500.0
1.05,1.0,6.0,3.0,6.6,6.59,4.09,62.31654135338345,58.0,9600.0
0.4,6.0,14.0,7.0,4.7,4.69,2.91,62.1,56.91017964071856,1800.0
0.55,0.0,4.0,11.0,5.3,5.829705882352942,3.28,62.4,57.0,2300.0
0.7989999999999999,12.0,5.0,2.0,6.8,6.79,4.21,62.2,56.91017964071856,7900.0
0.7,4.0,9.0,7.0,5.7,5.69,3.53,62.5,56.91017964071856,4000.0
0.9,10.0,8.0,3.0,6.2,6.22,3.6946710526315782,62.3,59.0,6600.0
0.5,13.0,3.0,7.0,5.2,5.829705882352942,3.22,62.6,58.0,3100.0
1.2,5.0,10.0,3.0,6.8,5.829705882352942,4.2,62.7,58.0,10200.0
0.65,2.0,4.0,7.0,5.6,5.59,3.47,62.31654135338345,57.0,3500.0
0.55,13.0,9.0,4.0,5.4,5.829705882352942,3.34,62.4,56.0,2800.0
1.3,10.0,5.0,2.0,6.9,6.92,3.6946710526315782,62.8,59.0,9900.0
0.75,1.0,11.0,7.0,5.9,5.829705882352942,3.65,62.5,57.0,4700.0
0.7989999999999999,8.0,2.0,0.0,6.0,5.829705882352942,3.71,62.6,55.0,2600.0
0.5,11.0,6.0,11.0,5.1,5.829705882352942,3.17,62.1,56.0,2200.0
0.85,13.0,10.0,3.0,6.0,6.03,3.73,62.31654135338345,58.0,6500.0
0.7989999999999999,0.0,4.0,8.0,5.7,5.829705882352942,3.56,62.4,56.0,1900.0
1.1,4.0,5.0,0.0,6.6,6.58,3.6946710526315782,62.5,54.0,7100.0
0.7989999999999999,5.0,9.0,1.0,6.3,6.32,3.92,62.31654135338345,57.0,7800.0
0.9,10.0,6.0,11.0,6.2,5.829705882352942,3.85,62.2,59.0,6700.0
0.5,13.0,3.0,3.0,5.2,5.23,3.6946710526315782,62.1,58.0,3200.0
0.7989999999999999,8.0,8.0,1.0,5.5,5.829705882352942,3.41,62.3,56.0,2400.0
0.4,1.0,4.0,8.0,4.7,4.69,2.91,62.31654135338345,57.0,2600.0
1.15,6.0,5.0,0.0,6.7,6.71,4.14,62.6,56.91017964071856,9200.0
0.7989999999999999,11.0,2.0,11.0,5.8,5.81,3.6946710526315782,62.31654135338345,55.0,3000.0
0.7,3.0,6.0,3.0,5.7,5.68,3.53,62.7,58.0,4100.0
0.65,12.0,9.0,1.0,5.6,5.57,3.6946710526315782,62.4,56.0,3600.0
1.25,1.0,4.0,8.0,6.8,5.829705882352942,4.21,62.31654135338345,59.0,10300.0
0.55,8.0,3.0,0.0,5.3,5.829705882352942,3.28,62.1,54.0,2300.0
0.6,4.0,10.0,3.0,5.5,5.49,3.6946710526315782,62.2,57.0,3400.0
0.7989999999999999,13.0,1.0,7.0,6.4,6.42,3.97,62.31654135338345,56.91017964071856,8000.0
0.75,10.0,6.0,5.0,5.9,5.88,3.65,62.3,56.91017964071856,4400.0
1.4,5.0,10.0,3.0,7.1,5.829705882352942,4.4,62.7,58.0,11500.0
0.7989999999999999,8.0,3.0,1.0,5.9,5.89,3.6946710526315782,62.8,55.0,2500.0
0.45,11.0,5.0,8.0,4.8,4.79,2.97,62.31654135338345,56.0,1500.0
0.95,4.0,4.0,4.0,6.3,6.31,3.92,62.31654135338345,56.0,6800.0
1.05,8.0,8.0,3.0,6.7,6.68,3.6946710526315782,62.5,57.0,7300.0
0.55,5.0,5.0,1.0,5.3,5.29,3.6946710526315782,62.1,58.0,3100.0
0.65,11.0,6.0,6.0,5.6,5.59,3.46,62.31654135338345,56.0,3300.0
0.7989999999999999,6.0,2.0,3.0,6.5,6.51,4.03,62.3,56.91017964071856,7700.0
0.8,1.0,3.0,1.0,6.0,5.829705882352942,3.72,62.31654135338345,57.0,5900.0
1.15,10.0,4.0,5.0,6.8,6.82,4.21,62.6,58.0,9300.0
0.7989999999999999,13.0,1.0,6.0,6.4,5.829705882352942,3.97,62.4,56.91017964071856,7900.0
0.7,4.0,5.0,2.0,5.7,5.68,3.52,62.5,56.91017964071856,4200.0
1.3,8.0,6.0,3.0,7.0,5.829705882352942,4.33,62.7,56.0,9800.0
0.4,5.0,3.0,7.0,4.8,4.77,2.96,62.31654135338345,55.0,2700.0
0.7989999999999999,11.0,10.0,1.0,5.6,5.58,3.6946710526315782,62.2,59.0,2900.0
0.85,1.0,1.0,4.0,6.1,6.09,3.78,62.31654135338345,56.0,6500.0
1.2,13.0,4.0,6.0,6.9,6.89,3.6946710526315782,62.8,54.0,10100.0
0.5,3.0,5.0,3.0,5.1,5.829705882352942,3.16,62.3,57.0,3000.0
1.05,8.0,6.0,5.0,6.6,6.59,4.08,62.31654135338345,58.0,7400.0
0.45,6.0,10.0,1.0,4.9,5.829705882352942,3.02,62.4,55.0,2600.0
0.75,11.0,3.0,8.0,5.8,5.77,3.59,62.31654135338345,56.0,4600.0
0.7989999999999999,1.0,4.0,3.0,6.3,6.28,3.6946710526315782,62.5,57.0,7200.0
0.6,12.0,5.0,1.0,5.5,5.49,3.6946710526315782,62.1,56.0,3600.0
0.9,11.0,5.0,3.0,6.2,6.21,3.84,62.31654135338345,59.0,6800.0
1.1,5.0,10.0,4.0,6.7,5.829705882352942,4.15,62.2,56.0,9500.0
0.7989999999999999,1.0,6.0,1.0,6.5,6.52,4.04,62.31654135338345,58.0,7600.0
0.45,10.0,3.0,6.0,4.9,4.88,3.6946710526315782,62.5,54.0,2100.0
0.7,13.0,4.0,2.0,5.7,5.829705882352942,3.54,62.4,55.0,4300.0
0.7989999999999999,8.0,8.0,3.0,5.4,5.41,3.35,62.31654135338345,56.0,2200.0
0.8,6.0,5.0,11.0,6.0,5.829705882352942,3.72,62.7,57.0,6300.0
1.25,11.0,1.0,1.0,6.9,5.829705882352942,4.26,62.31654135338345,58.0,10400.0
0.55,3.0,6.0,6.0,5.4,5.39,3.33,62.6,56.91017964071856,2800.0
0.7989999999999999,12.0,2.0,3.0,6.3,5.829705882352942,3.9,62.3,59.0,7800.0
0.65,8.0,4.0,4.0,5.6,5.57,3.47,62.31654135338345,56.0,3400.0
1.3,4.0,5.0,6.0,7.0,5.829705882352942,4.33,62.7,58.0,10200.0
0.5,5.0,6.0,2.0,5.2,5.19,3.6946710526315782,62.8,55.0,3200.0
0.85,11.0,3.0,11.0,6.1,6.11,3.78,62.31654135338345,57.0,6400.0
0.7989999999999999,8.0,4.0,1.0,5.6,5.829705882352942,3.46,62.4,59.0,2300.0
1.05,6.0,10.0,2.0,6.6,6.62,4.09,62.6,56.91017964071856,9300.0
0.4,3.0,3.0,6.0,4.7,5.829705882352942,2.92,62.1,56.0,2400.0
1.2,12.0,4.0,3.0,6.8,5.829705882352942,4.2,62.31654135338345,58.0,10100.0
0.7989999999999999,8.0,5.0,11.0,5.9,5.88,3.65,62.5,57.0,2600.0
0.75,4.0,6.0,1.0,5.9,5.89,3.64,62.31654135338345,56.0,4500.0
0.95,13.0,4.0,2.0,6.4,6.41,3.97,62.31654135338345,58.0,6900.0
1.15,10.0,3.0,11.0,6.9,6.88,4.27,62.31654135338345,56.0,9600.0
0.55,5.0,5.0,0.0,5.3,5.829705882352942,3.29,62.3,59.0,3100.0
0.7989999999999999,1.0,6.0,3.0,6.5,6.52,4.03,62.6,56.91017964071856,7700.0
0.65,11.0,2.0,1.0,5.6,5.58,3.47,62.31654135338345,56.0,3300.0
0.8,8.0,4.0,6.0,6.1,6.08,3.6946710526315782,62.5,57.0,4000.0
0.7989999999999999,6.0,5.0,3.0,6.5,6.53,4.04,62.7,58.0,7900.0
1.3,10.0,8.0,11.0,7.1,5.829705882352942,4.39,62.31654135338345,56.0,10300.0
0.7,5.0,6.0,0.0,5.8,5.77,3.59,62.31654135338345,55.0,4300.0
0.4,11.0,3.0,3.0,4.8,4.78,3.6946710526315782,62.4,58.0,2100.0
1.05,8.0,4.0,1.0,6.7,6.68,4.14,62.31654135338345,56.0,7400.0
0.85,6.0,5.0,6.0,6.2,6.21,3.6946710526315782,62.2,57.0,6500.0
0.7989999999999999,3.0,6.0,5.0,5.7,5.69,3.52,62.8,56.91017964071856,4100.0
0.45,12.0,4.0,2.0,4.9,5.829705882352942,3.03,62.1,59.0,2600.0
1.2,11.0,3.0,3.0,6.9,6.88,4.27,62.5,56.0,10100.0
0.5,5.0,6.0,6.0,5.1,5.12,3.6946710526315782,62.6,57.0,3200.0
0.6,10.0,4.0,5.0,5.5,5.52,3.42,62.31654135338345,56.0,3500.0
0.7989999999999999,1.0,6.0,6.0,6.4,6.41,3.97,62.31654135338345,55.0,8000.0
0.75,3.0,3.0,3.0,5.9,5.91,3.66,62.3,59.0,4600.0
1.1,6.0,3.0,6.0,6.8,6.79,4.21,62.31654135338345,57.0,9400.0
0.4,3.0,6.0,3.0,4.7,4.69,3.6946710526315782,62.2,55.0,2200.0
0.7989999999999999,8.0,4.0,5.0,5.4,5.43,3.35,62.31654135338345,59.0,2400.0
0.75,12.0,5.0,1.0,5.9,5.89,3.6946710526315782,62.7,56.0,4400.0
0.7989999999999999,5.0,6.0,6.0,6.6,6.61,4.09,62.6,55.0,7900.0
0.9,11.0,4.0,3.0,6.3,6.31,3.9,62.31654135338345,58.0,6900.0
0.6,1.0,5.0,11.0,5.5,5.49,3.41,62.31654135338345,56.0,3600.0
0.7989999999999999,8.0,6.0,2.0,5.7,5.829705882352942,3.53,62.4,57.0,2500.0
0.85,6.0,3.0,3.0,6.2,5.829705882352942,3.84,62.31654135338345,59.0,6600.0
1.25,4.0,4.0,6.0,6.9,6.91,3.6946710526315782,62.3,58.0,10500.0
0.5,5.0,5.0,4.0,5.2,5.829705882352942,3.22,62.1,57.0,3100.0
0.95,11.0,1.0,1.0,6.4,6.38,3.96,62.31654135338345,56.0,7100.0
0.7989999999999999,1.0,6.0,11.0,6.4,5.829705882352942,3.98,62.2,58.0,7600.0
0.45,5.0,2.0,3.0,4.8,4.81,3.6946710526315782,62.5,55.0,2500.0
1.3,10.0,4.0,2.0,7.0,7.01,4.34,62.31654135338345,57.0,9900.0
0.7989999999999999,6.0,5.0,6.0,6.6,6.62,3.6946710526315782,62.6,58.0,8100.0
0.7,4.0,6.0,11.0,5.8,5.77,3.58,62.31654135338345,56.0,4200.0
0.55,5.0,3.0,1.0,5.4,5.38,3.6946710526315782,62.4,59.0,3300.0
1.2,8.0,4.0,3.0,6.8,6.81,4.21,62.7,56.91017964071856,10100.0
1.05,6.0,3.0,11.0,6.6,6.65,4.11,62.31654135338345,58.0,9200.0
0.7989999999999999,8.0,4.0,2.0,5.2,5.24,3.23,62.31654135338345,57.0,170000.0
0.8,5.0,5.0,6.0,6.0,6.01,3.72,62.31654135338345,58.0,4900.0
0.7989999999999999,5.0,5.0,1.0,6.5,6.52,4.03,62.6,56.91017964071856,7900.0
0.5,11.0,2.0,3.0,5.1,5.11,3.6946710526315782,62.5,55.0,2900.0
0.65,4.0,3.0,5.0,5.5,5.829705882352942,3.41,62.31654135338345,57.0,3400.0
1.15,5.0,4.0,3.0,6.8,6.85,4.23,62.7,56.91017964071856,9800.0
0.4,11.0,5.0,6.0,4.7,5.829705882352942,2.91,62.1,58.0,2000.0
0.7989999999999999,6.0,2.0,1.0,6.3,5.829705882352942,3.9,62.31654135338345,58.0,7700.0
0.95,3.0,4.0,2.0,6.4,6.42,3.96,62.31654135338345,56.0,7100.0
0.45,10.0,3.0,11.0,4.9,4.89,3.6946710526315782,62.4,59.0,2300.0
1.25,6.0,5.0,1.0,6.9,5.829705882352942,4.27,62.31654135338345,55.0,10400.0
0.55,8.0,6.0,3.0,5.3,5.829705882352942,3.28,62.3,57.0,150000.0
0.85,4.0,2.0,6.0,6.1,6.13,3.78,62.31654135338345,58.0,6300.0
0.7989999999999999,5.0,4.0,5.0,6.4,6.43,3.97,62.5,56.91017964071856,7500.0
